layer,module,key,issue_type,total,pseudo_ready,status,note
Coverage,UI_MainMenu,ui.main_menu.,PseudoCoverage,12,12,Ok,pseudo_coverage_ok
Coverage,UI_LevelFlow,ui.level_flow.,PseudoCoverage,28,28,Ok,pseudo_coverage_ok
Coverage,UI_HudHints,ui.hud_hints.,PseudoCoverage,5,5,Ok,pseudo_coverage_ok
Coverage,UI_SkillBar,ui.skill_bar.,PseudoCoverage,6,6,Ok,pseudo_coverage_ok
Coverage,UI_Quest,ui.quest.,PseudoCoverage,20,20,Ok,pseudo_coverage_ok
Coverage,UI_Talent,ui.talent.,PseudoCoverage,20,20,Ok,pseudo_coverage_ok
Coverage,UI_Economy,ui.economy_overlay.,PseudoCoverage,13,13,Ok,pseudo_coverage_ok
Coverage,Boss,boss.,PseudoCoverage,5,5,Ok,pseudo_coverage_ok
