"name","fullname","result","duration"
"Level08To10SceneSwitch_LowFpsJitter_RebindStorm_BossGateRemainsStable","ThirdPersonController.Tests.BossLevel10GateRegressionTests.Level08To10SceneSwitch_LowFpsJitter_RebindStorm_BossGateRemainsStable","Passed","0.846325"
"Level08To10SceneSwitchAndReentry_BossGateBinding_RemainsSingle","ThirdPersonController.Tests.BossLevel10GateRegressionTests.Level08To10SceneSwitchAndReentry_BossGateBinding_RemainsSingle","Passed","0.566492"
"Level10Scene_BossGateChain_IsWiredForStrongholdThenBossFlow","ThirdPersonController.Tests.BossLevel10GateRegressionTests.Level10Scene_BossGateChain_IsWiredForStrongholdThenBossFlow","Passed","0.129085"
"LevelRuntimeConfigurator_RuntimeBossGateWiring_BindsSingleDefeatHandler","ThirdPersonController.Tests.BossLevel10GateRegressionTests.LevelRuntimeConfigurator_RuntimeBossGateWiring_BindsSingleDefeatHandler","Passed","0.012850"
"BossGatedScenes_PlayerDeathBeforeBoss_DoesNotBypassCompletionGate","ThirdPersonController.Tests.BossLevelFlowEndToEndRegressionTests.BossGatedScenes_PlayerDeathBeforeBoss_DoesNotBypassCompletionGate","Passed","1.221291"
"BossGatedScenes_StrongholdThenBoss_TriggersSingleCompletionAndVictory","ThirdPersonController.Tests.BossLevelFlowEndToEndRegressionTests.BossGatedScenes_StrongholdThenBoss_TriggersSingleCompletionAndVictory","Passed","1.189473"
"Level03To07_BossGateLongChain_ForwardSweep_TriggersSingleCompletionAndVictory","ThirdPersonController.Tests.BossMidTierFlowLongChainRegressionTests.Level03To07_BossGateLongChain_ForwardSweep_TriggersSingleCompletionAndVictory","Passed","1.433070"
"Level03To07_BossGateLongChain_ReentryWithInterruption_RemainsStableAndNoDuplicateHandlers","ThirdPersonController.Tests.BossMidTierFlowLongChainRegressionTests.Level03To07_BossGateLongChain_ReentryWithInterruption_RemainsStableAndNoDuplicateHandlers","Passed","2.818869"
"BossScenes_PhaseGrammar_IsRuntimeValid","ThirdPersonController.Tests.BossPhaseGrammarRegressionTests.BossScenes_PhaseGrammar_IsRuntimeValid","Passed","0.463208"
"BossSpawnPoint_ApplyEncounterTuning_ClampsPhaseGrammarToSafeRange","ThirdPersonController.Tests.BossPhaseGrammarRegressionTests.BossSpawnPoint_ApplyEncounterTuning_ClampsPhaseGrammarToSafeRange","Passed","0.001719"
"LevelRuntimeConfigurator_Apply_BossGrammarFieldsAreSynchronized","ThirdPersonController.Tests.BossPhaseGrammarRegressionTests.LevelRuntimeConfigurator_Apply_BossGrammarFieldsAreSynchronized","Passed","0.009141"
"RuntimeConfigurator_BindsBossSpawnPoint_FromOwnScene_WhenMultipleBossScenesLoaded","ThirdPersonController.Tests.BossSceneLocalBindingRegressionTests.RuntimeConfigurator_BindsBossSpawnPoint_FromOwnScene_WhenMultipleBossScenesLoaded","Passed","0.243189"
