layer,key,status,ref_count,note,sources
Reference,ui.level_flow.result.hint_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/LevelFlowUIController.cs
Reference,ui.main_menu.start_game_button,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs
Reference,ui.main_menu.quit_button,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs
Reference,ui.main_menu.next_level_reward_preview,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs
Reference,ui.main_menu.preview_difficulty_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs
Reference,ui.main_menu.preview_base_credits_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs
Reference,ui.main_menu.select_level,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs
Reference,ui.main_menu.level_locked_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs
Reference,ui.main_menu.language.label,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs
Reference,ui.main_menu.language.zh_button,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs
Reference,ui.main_menu.language.en_button,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs
Reference,ui.main_menu.press_to_start_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs
Reference,ui.main_menu.locked_level_label,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Core/MainMenuController.cs
Reference,boss.phase2,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Enemy/BossCombatTemplate.cs
Reference,boss.break_window,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Enemy/BossCombatTemplate.cs
Reference,boss.skill_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Enemy/BossCombatTemplate.cs
Reference,boss.phase_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Enemy/BossController.cs
Reference,boss.defeated,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/Enemy/BossController.cs
Reference,ui.economy_overlay.title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs
Reference,ui.economy_overlay.credits_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs
