"prefab_path","attack_id","status","changed_fields","note"
"Assets/Prefabs/Bosses/BOSS_Eel_Controller.prefab","eel_charge","Fixed","1","cooldown"
"Assets/Prefabs/Bosses/BOSS_Eel_Controller.prefab","eel_devour","Fixed","2","damage|cooldown"
"Assets/Prefabs/Bosses/BOSS_Eel_Controller.prefab","eel_tail","Ok","0",""
"Assets/Prefabs/Bosses/BOSS_Eel_Controller.prefab","eel_vortex","Fixed","1","cooldown"
"Assets/Prefabs/Bosses/BOSS_Guardian_Controller.prefab","guard_blade","Fixed","1","damage"
"Assets/Prefabs/Bosses/BOSS_Guardian_Controller.prefab","guard_overload","Fixed","2","damage|windup_time"
"Assets/Prefabs/Bosses/BOSS_Guardian_Controller.prefab","guard_slam","Ok","0",""
"Assets/Prefabs/Bosses/BOSS_Guardian_Controller.prefab","guard_spray","Fixed","2","damage|windup_time"
