level_id,level_asset,scene_name,scene_path,status,blocking_errors,warnings,canvas_count,canvas_scaler_count,scale_with_screen_size_count,readable_reference_scaler_count,hud_hints_count,skill_bar_count,key_label_count,note
LEVEL_02,Assets/GameDesign/Data/LevelData_Level02.asset,Level_02_WreckedStation,Assets/Scenes/Level_02_WreckedStation.unity,Ok,0,0,1,1,1,1,0,1,6,
LEVEL_03,Assets/GameDesign/Data/LevelData_Level03.asset,Level_03_ThermalVents,Assets/Scenes/Level_03_ThermalVents.unity,Ok,0,0,1,1,1,1,0,1,6,
LEVEL_04,Assets/GameDesign/Data/LevelData_Level04.asset,Level_04_CoralGrove,Assets/Scenes/Level_04_CoralGrove.unity,Ok,0,0,1,1,1,1,0,1,6,
LEVEL_05,Assets/GameDesign/Data/LevelData_Level05.asset,Level_05_SunkenCity,Assets/Scenes/Level_05_SunkenCity.unity,Ok,0,0,1,1,1,1,0,1,6,
LEVEL_06,Assets/GameDesign/Data/LevelData_Level06.asset,Level_06_BlackTidePipes,Assets/Scenes/Level_06_BlackTidePipes.unity,Ok,0,0,1,1,1,1,0,1,6,
LEVEL_07,Assets/GameDesign/Data/LevelData_Level07.asset,Level_07_AbyssHangar,Assets/Scenes/Level_07_AbyssHangar.unity,Ok,0,0,1,1,1,1,0,1,6,
LEVEL_08,Assets/GameDesign/Data/LevelData_Level08.asset,Level_08_MoltenRift,Assets/Scenes/Level_08_MoltenRift.unity,Ok,0,0,1,1,1,1,0,1,6,
LEVEL_09,Assets/GameDesign/Data/LevelData_Level09.asset,Level_09_StillTideSanctum,Assets/Scenes/Level_09_StillTideSanctum.unity,Ok,0,0,1,1,1,1,0,1,6,
LEVEL_10,Assets/GameDesign/Data/LevelData_Level10.asset,Level_10_HiveCore,Assets/Scenes/Level_10_HiveCore.unity,Ok,0,0,1,1,1,1,0,1,6,
