step_label,target_count,duration_s,frame_samples,avg_frame_ms,p95_frame_ms,p99_frame_ms,max_frame_ms,avg_fps,p1_fps,avg_gc_alloc_bytes_per_frame,p95_gc_alloc_bytes_per_frame,max_gc_alloc_bytes_per_frame,total_gc_alloc_bytes,gc_collections_gen0,gc_collections_gen1,gc_collections_gen2,avg_ai_decisions_per_s,p95_ai_decisions_per_s,peak_ai_decisions_per_s,avg_active_enemies,avg_active_projectiles,p95_active_projectiles,avg_active_damage_texts,p95_active_damage_texts,avg_active_particles,p95_active_particles
P4_LONG_100_R1,100,120.384,30000,1.782,2.374,3.468,21.41,561.319,288.392,0,0,0,0,10,10,10,416.977,434.092,457.404,106,0,0,0,0,0,0
P4_LONG_100_R2,100,120.387,30000,1.789,2.508,5.322,31.968,558.821,187.896,0,0,0,0,12,12,12,397.5,415.139,442.892,101,0,0,0,0,0,0
P4_LONG_150_R1,150,180.724,30000,2.386,3.371,7.821,31.786,419.063,127.856,0,0,0,0,22,22,22,685.421,710.785,739.397,175,0,0,0,0,0,0
P4_LONG_150_R2,150,180.565,30000,2.33,3.248,7.769,52.357,429.099,128.723,0,0,0,0,21,21,21,631.05,651.364,669.711,161,0,0,0,0,0,0
