"name","fullname","result","duration"
"EconomyService_P0LevelAndShopMultipliers_ApplyDifficultyAndExternalMultiplier","ThirdPersonController.Tests.QuestEconomyP0RegressionTests.EconomyService_P0LevelAndShopMultipliers_ApplyDifficultyAndExternalMultiplier","Passed","0.004051"
"EconomyService_P0QuestMultipliers_ApplyTypeTierChapterStrongholdAndDifficulty","ThirdPersonController.Tests.QuestEconomyP0RegressionTests.EconomyService_P0QuestMultipliers_ApplyTypeTierChapterStrongholdAndDifficulty","Passed","0.001484"
"LevelRewardSystem_P0HandleLevelCompleted_AppliesAdjustedRewardsOnce","ThirdPersonController.Tests.QuestEconomyP0RegressionTests.LevelRewardSystem_P0HandleLevelCompleted_AppliesAdjustedRewardsOnce","Passed","0.005783"
"LongTermProgressionSystem_P0MilestoneClaim_AppliesRewardsAndPersistsToSave","ThirdPersonController.Tests.QuestEconomyP0RegressionTests.LongTermProgressionSystem_P0MilestoneClaim_AppliesRewardsAndPersistsToSave","Passed","0.005698"
"QuestSystem_P0CompleteQuest_AppliesEconomyRewardsToExperienceAndWallet","ThirdPersonController.Tests.QuestEconomyP0RegressionTests.QuestSystem_P0CompleteQuest_AppliesEconomyRewardsToExperienceAndWallet","Passed","0.003449"
"QuestSystem_P0RestoreState_RestoresStageClampProgressAndTimerConsistency","ThirdPersonController.Tests.QuestEconomyP0RegressionTests.QuestSystem_P0RestoreState_RestoresStageClampProgressAndTimerConsistency","Passed","0.002687"
"ShopManager_P0Purchase_WhenInventoryMissing_DoesNotConsumeCredits","ThirdPersonController.Tests.QuestEconomyP0RegressionTests.ShopManager_P0Purchase_WhenInventoryMissing_DoesNotConsumeCredits","Passed","0.000962"
